,States,Regions,latitude,longitude,Date,Energy Consumption
0,Punjab,NR,31.51997398,75.98000281,2019-02-01,119.9
1,Haryana,NR,28.45000633,77.01999101,2019-02-01,130.3
2,Rajasthan,NR,26.44999921,74.63998124,2019-02-01,234.1
3,Delhi,NR,28.6699929,77.23000403,2019-02-01,85.8
4,UP,NR,27.59998069,78.05000565,2019-02-01,313.9
5,Uttarakhand,NR,30.32040895,78.05000565,2019-02-01,40.7
6,HP,NR,31.10002545,77.16659704,2019-02-01,30.0
7,J&K,NR,33.45,76.24,2019-02-01,52.5
8,Chandigarh,NR,30.71999697,76.78000565,2019-02-01,5.0
9,Chhattisgarh,WR,22.09042035,82.15998734,2019-02-01,78.7
10,Gujarat,WR,22.2587,71.1924,2019-02-01,319.5
11,MP,WR,21.30039105,76.13001949,2019-02-01,253.0
12,Maharashtra,WR,19.25023195,73.16017493,2019-02-01,428.6
13,Goa,WR,15.491997,73.81800065,2019-02-01,12.8
14,DNH,WR,20.26657819,73.0166178,2019-02-01,18.6
15,Andhra Pradesh,SR,14.7504291,78.57002559,2019-02-01,164.6
16,Telangana,SR,18.1124,79.0193,2019-02-01,204.2
17,Karnataka,SR,12.57038129,76.91999711,2019-02-01,206.3
18,Kerala,SR,8.900372741,76.56999263,2019-02-01,72.7
19,Tamil Nadu,SR,12.92038576,79.15004187,2019-02-01,268.3
20,Pondy,SR,11.93499371,79.83000037,2019-02-01,6.3
21,Bihar,ER,25.78541445,87.4799727,2019-02-01,82.3
22,Jharkhand,ER,23.80039349,86.41998572,2019-02-01,24.8
23,Odisha,ER,19.82042971,85.90001746,2019-02-01,70.2
24,West Bengal,ER,22.58039044,88.32994665,2019-02-01,108.2
25,Sikkim,ER,27.3333303,88.6166475,2019-02-01,2.0
26,Arunachal Pradesh,NER,27.10039878,93.61660071,2019-02-01,2.1
27,Assam,NER,26.7499809,94.21666744,2019-02-01,21.7
28,Manipur,NER,24.79997072,93.95001705,2019-02-01,2.7
29,Meghalaya,NER,25.57049217,91.8800142,2019-02-01,6.1
30,Mizoram,NER,23.71039899,92.72001461,2019-02-01,1.9
31,Nagaland,NER,25.6669979,94.11657019,2019-02-01,2.2
32,Tripura,NER,23.83540428,91.27999914,2019-02-01,3.4
33,Punjab,NR,31.51997398,75.98000281,2019-03-01,121.9
34,Haryana,NR,28.45000633,77.01999101,2019-03-01,133.5
35,Rajasthan,NR,26.44999921,74.63998124,2019-03-01,240.2
36,Delhi,NR,28.6699929,77.23000403,2019-03-01,85.5
37,UP,NR,27.59998069,78.05000565,2019-03-01,311.8
38,Uttarakhand,NR,30.32040895,78.05000565,2019-03-01,39.3
39,HP,NR,31.10002545,77.16659704,2019-03-01,30.1
40,J&K,NR,33.45,76.24,2019-03-01,54.1
41,Chandigarh,NR,30.71999697,76.78000565,2019-03-01,4.9
42,Chhattisgarh,WR,22.09042035,82.15998734,2019-03-01,78.8
43,Gujarat,WR,22.2587,71.1924,2019-03-01,316.7
44,MP,WR,21.30039105,76.13001949,2019-03-01,253.6
45,Maharashtra,WR,19.25023195,73.16017493,2019-03-01,419.6
46,Goa,WR,15.491997,73.81800065,2019-03-01,13.7
47,DNH,WR,20.26657819,73.0166178,2019-03-01,18.2
48,Andhra Pradesh,SR,14.7504291,78.57002559,2019-03-01,170.1
49,Telangana,SR,18.1124,79.0193,2019-03-01,204.5
50,Karnataka,SR,12.57038129,76.91999711,2019-03-01,212.2
