,RMSE,MAE,R2
Andhra Pradesh,13.988047499165633,10.788228720807014,0.23264490103306124
Arunachal Pradesh,0.2780837222528022,0.1989406296547423,-0.4162976431927021
Assam,4.781516880472331,3.5007188310014437,-0.16522209412146505
Bihar,16.64694646231307,12.469595296332177,-0.23362377120328293
Chandigarh,1.2886478575903322,0.9773738592228992,0.024379306794065525
Chhattisgarh,9.081502472245521,6.997169721887467,-0.022342239768059713
DNH,5.16700696066295,2.910625400949032,-0.2960086208466792
Delhi,27.09820859542811,19.534352809824846,0.13782728746468487
Goa,1.9567775061935735,1.3716367427338945,-0.5154909925908038
Gujarat,39.407691806072535,28.651388777063246,0.011752472847578299
HP,4.7768182124862815,3.315919754352976,-0.04165799249264879
Haryana,42.48825915956439,31.45086665052049,0.03856058749729274
J&K,6.102762549024716,4.334826879298433,-0.1802222007737022
Jharkhand,1.8447105219810211,1.4727750494125045,0.03260393000359707
Karnataka,30.023083271556164,21.994632152800865,-0.07174208611550692
Kerala,6.581137891128754,5.020615979458424,0.24228497357751844
MP,30.85371129288013,22.75052363618891,-0.0283809383106981
Maharashtra,40.2061872533274,30.667558840487878,0.11957557370624972
Manipur,0.22877149253096832,0.18273969000958384,-0.29940260542096464
Meghalaya,0.8338396311807258,0.6472652070065762,-0.11438672795412108
Mizoram,0.21339711813218168,0.15712222342795515,-0.8372525643561253
Nagaland,0.16892898388155297,0.12698901891708372,-0.5642242313626815
Odisha,9.947951569947778,7.366417661626288,0.15369155104215448
Pondy,0.9426091428949163,0.7619350362331307,0.378279145572768
Punjab,65.7919856746014,47.01336462142619,-0.04097178239085575
Rajasthan,29.571971467433425,21.3717172500935,-0.12003805218466712
Sikkim,0.43042725132377696,0.32369169706993905,-0.6746712892579236
Tamil Nadu,30.463511445637735,23.715888522533664,0.33748628841323836
Telangana,31.313841870164893,22.05686028663148,-0.582093605280178
Tripura,0.8106595892077819,0.6330901780027023,-0.4809611533897684
UP,67.33174207603123,47.098478276678854,0.0602621388140957
Uttarakhand,6.4437621135199326,4.778628260024051,0.12865045103982786
West Bengal,24.42151743780194,19.169509384479934,0.13953745734380263
